,0,1
0,泻水逐饮,5
1,平肝潜阳,4
2,补益肝肾,3
3,清利头目,2
4,明目退翳,2
5,平肝明目,2
6,升阳举陷,2
7,消痈排脓,2
8,化浊降脂,2
9,补火助阳,2
10,固精缩尿,2
11,强筋健骨,2
12,利咽透疹,1
13,疏肝行气,1
14,宣发郁热,1
15,清肺润燥,1
16,解肌退热,1
17,生津止渴,1
18,升阳止泻,1
19,和解表里,1
20,疏肝解郁,1
21,退热截疟,1
22,养阴生津,1
23,滋有降火,1
24,活血散瘀,1
25,消炎退肿,1
26,消痈散结,1
27,利尿通淋,1
28,破血行瘀,1
29,清肝明目,1
30,泻热通肠,1
31,泻下通便,1
32,泻热导滞,1
33,峻下寒积,1
34,逐水涤痰,1
35,破备消癥,1
36,舒筋活络,1
37,化湿和胃,1
38,和胃化浊,1
39,下气除满,1
40,化湿醒脾,1
41,醒脾开胃,1
42,温中止泻,1
43,宽中和胃,1
44,宽胸和胃,1
45,温中消痞,1
46,祛湿除痹,1
47,利胆排石,1
48,回阳救逆,1
49,回阳通脉,1
50,温肺化饮,1
51,疏肝开郁,1
52,疏肝破气,1
53,疏肝和胃,1
54,回乳消胀,1
55,涩精止遗,1
56,化坚消石,1
57,引血下行,1
58,接骨续筋,1
59,续筋接骨,1
60,镇心安神,1
61,安神镇惊,1
62,镇惊安神,1
63,生津润肺,1
64,补气养阴,1
65,补气升阳,1
66,益卫固表,1
67,补脾养胃,1
68,补肾填精,1
69,调和诸药,1
70,益精填髓,1
71,敛阴平肝,1
72,补益心脾,1
73,滋补肝肾,1
74,滋养肝肾,1
75,益肾强骨,1
76,固经止崩,1
77,退热除蒸,1
78,滋肾益阴,1
79,温补肝肾,1
80,补肺益肾,1
81,温补命门,1
82,敛肺滋肾,1
83,尿频带下,1
84,虚喘冷哮,1
85,虚寒泻痢,1
86,大便冷秘,1
