,Name,Taste,Type,Function,Effect
0,麻黄,"['味辛', '微苦', '性温']","['入肺', '膀胱经']","['辛温发汗峻品', '能解表寒', '宣肺平喘', '利水消肿']","['风寒表实证', '胸闷 喘咳', '风水 浮肿', '风湿 痹痛', '阴疽', '痰核']"
1,桂枝,"['味辛', '甘', '性温']","['入肺', '心', '膀胱经']","['发汗解表', '散寒止痛', '通阳化气']","['风寒 感冒', '寒凝血滞诸痛症', '痰饮', '蓄水证', '心悸']"
2,紫苏叶,"['辛', '温']","['归肺', '脾经']","['发散风寒', '行气和中', '安胎']","['风寒 感冒', '咳嗽 气喘', '胸闷 呕恶', '妊娠 呕吐', '胎动 不安', '鱼蟹中毒', '呕泻 腹痛']"
3,生姜,"['辛', '微温']","['归肺', '胃', '脾经']","['发表散寒', '温中止呕', '温肺止咳']","['外感 风寒', '胃寒 呕吐', '风寒 咳嗽', '并解半夏', '天南星及鱼蟹毒']"
4,香薷,"['辛', '微温']","['归肺', '胃经']","['发汗解表', '祛暑化湿', '和中', '利水']","['感冒 暑湿', '恶寒发热无汗', '头痛', '腹痛 吐泻', '水肿', '脚气', '小便 不利']"
5,荆芥,"['辛', '温']","['归肺', '肝经']","['解表散风', '透疹消疮', '止血']","['感冒 发热', '头痛', '咽疼', '麻疹不透', '风疹 瘙痒', '疮疡 初起', '吐血', '衄血', '便血', '崩漏']"
6,防风,"['辛', '甘', '温']","['归膀胱', '肝', '脾经']","['解表', '祛风', '胜湿', '止痛', '解痉']","['风寒 表证', '头痛 身疼', '风寒 湿痹', '风疹 瘙痒', '破伤风']"
7,羌活,"['辛', '苦', '温']","['归膀胱', '肾经']","['祛风', '散寒', '除湿', '止痛']","['风寒 感冒', '寒热 头痛', '风寒 湿痹', '肩臂 疼痛']"
8,白芷,"['辛', '温']","['归肺', '脾', '胃经']","['祛风除湿', '通窍止痛', '消痈排脓']","['风寒 感冒', '头痛 鼻塞', '眉棱骨痛', '牙痛', '寒湿 带下', '痈肿 疮疡', '皮肤 瘙痒']"
9,藁本,"['辛', '温']",['归膀胱经'],"['祛风散寒', '除湿止痛']","['外感 风寒', '巅顶头痛偏头痛', '风湿 肢节痹痛', '寒湿 腹痛']"
