,Name,Taste,Type,Function,Effect
0,麻黄,辛、微苦、温,肺、膀胱,辛温峻品、利水、消肿,辛温峻品、利水、消肿
1,桂枝,辛、甘、温,肺、心、膀胱,、解表、散寒、止痛、,、解表、散寒、止痛、
2,紫苏叶,辛、温,肺、脾,、风寒、行气、和中、安胎,、风寒、行气、和中、安胎
3,生姜,辛、微温,肺、胃、脾,、散寒、温中、止呕、止咳,、散寒、温中、止呕、止咳
4,香薷,辛、微温,肺、胃,、解表、化湿、和中、利水,、解表、化湿、和中、利水
5,荆芥,辛、温,肺、肝,解表、透疹、止血,解表、透疹、止血
6,防风,辛、甘、温,膀胱、肝、脾,解表、祛风、止痛、,解表、祛风、止痛、
7,羌活,辛、苦、温,膀胱、肾,祛风、散寒、除湿、止痛,祛风、散寒、除湿、止痛
8,白芷,辛、温,肺、脾、胃,祛风、除湿、止痛、消痈、排脓,祛风、除湿、止痛、消痈、排脓
9,藁本,辛、温,膀胱,祛风、散寒、除湿、止痛,祛风、散寒、除湿、止痛
10,苍耳子,辛、苦、温,肺,湿、止痛、止痒,湿、止痛、止痒
11,辛夷,辛、温,肺、胃,、散寒、,、散寒、
12,薄荷,辛、凉,肺、肝,疏散、风热、利咽、透疹、疏肝、行气,疏散、风热、利咽、透疹、疏肝、行气
13,牛蒡子,辛、苦、寒,肺、胃,疏散、风热、利咽、透疹、解毒,疏散、风热、利咽、透疹、解毒
14,蝉蜕,甘、咸、凉,肺、肝,、风热、利咽、透疹、明目、,、风热、利咽、透疹、明目、
15,淡豆豉,苦、辛、微寒,肺、胃,解表、除烦、,解表、除烦、
16,桑叶,苦、甘、寒,肝、肺,疏散、风热、清肺、润燥、平肝、明目,疏散、风热、清肺、润燥、平肝、明目
17,菊花,辛、苦、甘、微寒,肺、肝,、清热、平肝、明目、清热、解毒,、清热、平肝、明目、清热、解毒
18,蔓荆子,辛、苦、微寒,膀胱、肝、胃,疏散、风热、,疏散、风热、
19,葛根,甘、辛、平,脾、胃,、透疹、生津、止泻,、透疹、生津、止泻
20,柴胡,辛、苦、微寒,心包络、肝、三焦、胆,、疏肝、解郁、截疟,、疏肝、解郁、截疟
21,升麻,辛、微甘、微寒,肺、脾、胃,、透疹、清热、解毒、,、透疹、清热、解毒、
22,浮萍,辛、寒,肺、膀胱,、解表、透疹、止痒、利水、消肿,、解表、透疹、止痒、利水、消肿
23,木贼,甘、苦、平,肺、肝、胆,疏散、风热、明目、止血,疏散、风热、明目、止血
24,水牛角,苦、咸、寒,心、肝,清热、凉血、解毒、定惊,清热、凉血、解毒、定惊
25,生地黄,甘、苦、寒,心、肝、肾,清热、凉血、养阴、生津,清热、凉血、养阴、生津
26,玄参,苦、咸、寒,肺、肾,清热、凉血、解毒、软坚,清热、凉血、解毒、软坚
27,牡丹皮,辛、苦、凉,心、肝、肾,清热、凉血、活血、散瘀,清热、凉血、活血、散瘀
28,赤芍药,苦、微寒,肝、脾,清热、凉血、祛瘀、止痛,清热、凉血、祛瘀、止痛
29,紫草,甘、寒,心、肝,凉血、活血、解毒、透疹,凉血、活血、解毒、透疹
30,金银花,甘、寒,肺、胃、大肠,清热、解毒、,清热、解毒、
31,连翘,苦、微寒、归肺、心、胆经,煎服、6～15克,清热、解毒、消痈、散结,清热、解毒、消痈、散结
32,蒲公英,苦、甘、寒,肝、胃,清热、解毒、消肿、散结、利尿、通淋,清热、解毒、消肿、散结、利尿、通淋
33,紫花地丁,苦、辛、寒,心、肝,清热、解毒、凉血、消肿,清热、解毒、凉血、消肿
